community_area,active_count,new_count,closures_count,nightlife_share,regulated_share,population,active_businesses_per_1k,new_licenses_per_1k,closures_per_1k,Pct_Housing_Crowded,Pct_Below_Poverty,Pct_Unemployed,Pct_Without_HS_Diploma,Per_Capita_Income,Hardship_Index
0,1,1,,0.0,0.0,,,,,,,,,,
1,629,145,149.0,0.04133545310015898,0.07472178060413355,,,,,,,,,,
10,451,103,137.0,0.03991130820399113,0.04212860310421286,,,,,,,,,,
11,367,90,148.0,0.035422343324250684,0.04632152588555858,,,,,,,,,,
12,222,52,58.0,0.0045045045045045045,0.04504504504504504,,,,,,,,,,
13,292,99,95.0,0.003424657534246575,0.03767123287671233,,,,,,,,,,
14,802,204,358.0,0.008728179551122194,0.05860349127182045,,,,,,,,,,
15,941,230,437.0,0.021253985122210415,0.053134962805526036,,,,,,,,,,
16,965,296,336.0,0.031088082901554404,0.04248704663212435,,,,,,,,,,
17,520,109,278.0,0.028846153846153848,0.046153846153846156,,,,,,,,,,
18,157,39,35.0,0.01910828025477707,0.03184713375796178,,,,,,,,,,
19,1118,374,287.0,0.01699463327370304,0.03488372093023256,,,,,,,,,,
2,914,332,300.0,0.01312910284463895,0.053610503282275714,,,,,,,,,,
20,362,139,77.0,0.008287292817679558,0.055248618784530384,,,,,,,,,,
21,735,219,172.0,0.034013605442176874,0.05170068027210884,,,,,,,,,,
22,1611,403,685.0,0.037243947858473,0.03972687771570453,,,,,,,,,,
23,825,208,324.0,0.009696969696969697,0.03878787878787879,,,,,,,,,,
24,2442,694,592.0,0.036036036036036036,0.03644553644553645,,,,,,,,,,
25,1107,415,318.0,0.007226738934056007,0.07497741644083107,,,,,,,,,,
26,272,63,70.0,0.011029411764705883,0.09926470588235294,,,,,,,,,,
27,270,94,75.0,0.03333333333333333,0.08888888888888889,,,,,,,,,,
28,2876,888,645.0,0.02573018080667594,0.037204450625869266,,,,,,,,,,
29,363,91,103.0,0.0027548209366391185,0.07162534435261708,,,,,,,,,,
3,981,342,362.0,0.03160040774719674,0.047910295616717634,,,,,,,,,,
