ID,Case Number,Date,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
13894362,JJ326433,2025-07-08 20:13:00,STREET,True,False,111,1,42,32,41.888104421,-87.625549065
13893362,JJ325283,2025-07-08 01:56:00,GAS STATION,False,False,424,4,7,46,41.744647338,-87.552238463
13891960,JJ323643,2025-07-06 19:58:00,PARK PROPERTY,True,False,1915,19,46,3,41.962412137,-87.63490835
13889909,JJ321122,2025-07-04 21:24:00,RESIDENCE,False,False,1712,17,39,14,41.968947318,-87.730517465
13882651,JJ312459,2025-06-28 12:30:00,ALLEY,False,False,423,4,7,46,41.739949324,-87.558758843
13876704,JJ305104,2025-06-23 03:32:00,STREET,True,False,1925,19,46,6,41.948131367,-87.649510899
13876193,JJ304562,2025-06-22 16:10:00,STREET,False,False,1723,17,33,14,41.964709376,-87.71844922
13876778,JJ304223,2025-06-22 00:30:00,ALLEY,False,False,913,9,11,60,41.838932236,-87.647599484
13872594,JJ300009,2025-06-19 00:14:00,RESIDENCE,False,False,921,9,12,58,41.821078216,-87.688864954
13868446,JJ294853,2025-06-14 21:10:00,STREET,False,False,1633,16,30,15,41.941453057,-87.773895149
13866452,JJ292489,2025-06-13 01:01:00,CTA BUS,True,False,1433,14,1,24,41.907851023,-87.667611351
13861849,JJ286874,2025-06-08 22:25:00,STREET,True,False,713,7,16,67,41.784176726,-87.663121019
13855871,JJ279309,2025-06-03 03:56:00,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1112,11,27,23,41.894411322,-87.721158758
13852840,JJ275705,2025-05-31 04:53:00,RESTAURANT,True,False,621,6,6,44,41.750472394,-87.634297122
13852853,JJ275670,2025-05-31 02:26:00,PARK PROPERTY,True,False,334,3,5,43,41.76677448,-87.566478603
13852608,JJ275475,2025-05-30 22:39:00,STREET,True,False,2534,25,37,23,41.902577785,-87.731990704
13847393,JJ269126,2025-05-26 02:02:00,STREET,False,False,932,9,16,61,41.795355464,-87.669480927
13842029,JJ262398,2025-05-20 13:02:00,RESIDENCE,True,False,511,5,9,49,41.713692361,-87.62967803
13831016,JJ248991,2025-05-09 23:03:00,ALLEY,True,False,1411,14,35,21,41.939385456,-87.6992198
13830122,JJ247755,2025-05-08 23:51:00,STREET,True,False,726,7,16,67,41.777070698,-87.67384534
13826954,JJ243940,2025-05-05 23:27:00,STREET,False,False,432,4,10,52,41.71721703,-87.537699773
13825222,JJ241807,2025-05-04 02:24:00,STREET,False,False,1634,16,45,15,41.950949897,-87.752166874
13824397,JJ240639,2025-05-02 23:56:00,STREET,True,False,421,4,7,43,41.75284281,-87.558464582
13820078,JJ235395,2025-04-28 22:45:00,STREET,True,False,835,8,18,70,41.750555231,-87.68153416
13815348,JJ229533,2025-04-24 00:19:00,SIDEWALK,False,False,423,4,10,46,41.730984736,-87.554045286
13810144,JJ223404,2025-04-18 21:17:00,STREET,True,False,531,5,9,49,41.692597716,-87.621816287
13801747,JJ213320,2025-04-09 15:45:00,SCHOOL - PUBLIC GROUNDS,False,False,312,3,20,69,41.778754713,-87.617297398
13800074,JJ211128,2025-04-08 19:49:00,STREET,True,False,1014,10,24,29,41.858907887,-87.720957871
13796640,JJ207029,2025-04-05 10:56:00,CHA PARKING LOT / GROUNDS,True,False,1225,12,27,28,41.877565108,-87.68479102
13793502,JJ203218,2025-04-02 02:07:00,STREET,False,False,2411,24,50,2,42.008496785,-87.697970924
13791275,JJ200556,2025-03-30 21:40:00,STREET,True,False,812,8,13,64,41.782909148,-87.771689563
13789706,JJ198754,2025-03-29 08:40:00,SIDEWALK,False,False,433,4,10,55,41.651700986,-87.549582551
13787146,JJ195646,2025-03-26 15:33:00,STREET,True,False,733,7,16,68,41.768705488,-87.653498246
13780767,JJ188038,2025-03-19 21:45:00,STREET,False,False,2412,24,50,2,42.001274966,-87.695162078
13779727,JJ186767,2025-03-18 21:45:00,APARTMENT,False,True,2433,24,40,77,41.996802777,-87.67394701
13778700,JJ185523,2025-03-18 02:24:00,STREET,False,False,422,4,7,46,41.747351562,-87.549175139
13775840,JJ182057,2025-03-15 06:10:00,STREET,False,False,132,1,4,33,41.865213337,-87.619567846
13769561,JJ174516,2025-03-09 03:42:00,STREET,False,False,432,4,10,52,41.711947799,-87.538471618
13768385,JJ172973,2025-03-07 16:57:00,STREET,True,False,1034,10,28,31,41.852023717,-87.686627405
13768335,JJ173095,2025-03-07 00:00:00,ALLEY,False,False,624,6,6,69,41.755931338,-87.612618058
13758247,JJ160863,2025-02-24 23:50:00,SIDEWALK,False,False,623,6,6,69,41.751452878,-87.624567581
13757168,JJ159371,2025-02-23 17:15:00,STREET,True,False,1011,10,24,29,41.865266753,-87.719494778
13756297,JJ158590,2025-02-22 23:11:00,CONVENIENCE STORE,True,False,122,1,34,32,41.881950166,-87.633335938
13745358,JJ145094,2025-02-10 13:12:00,STREET,True,False,934,9,16,61,41.795428379,-87.662193344
13738384,JJ136443,2025-02-03 03:11:00,STREET,True,False,913,9,11,60,41.843786371,-87.653522433
13719098,JJ113191,2025-01-13 03:32:00,GAS STATION,True,False,823,8,15,66,41.779022733,-87.699841543
13717252,JJ111177,2025-01-11 02:30:00,STREET,False,False,434,4,10,51,41.700068791,-87.560771922
13711907,JJ104561,2025-01-05 03:47:00,ALLEY,False,False,1711,17,39,13,41.983186166,-87.730883379
13698231,JH550044,2024-12-20 16:26:00,STREET,True,False,1613,16,41,10,41.982297174,-87.815253248
13697466,JH549276,2024-12-19 22:42:00,APARTMENT,False,False,623,6,6,44,41.750615371,-87.616525456
13696500,JH547704,2024-12-18 17:07:00,STREET,True,False,1132,11,24,29,41.86677626,-87.725200273
13692627,JH543355,2024-12-15 03:16:00,ALLEY,False,False,1724,17,33,16,41.95616241,-87.710535089
13692483,JH543194,2024-12-14 23:24:00,STREET,False,False,1633,16,30,17,41.941540565,-87.781201521
13692344,JH543021,2024-12-14 19:40:00,STREET,False,False,1722,17,45,16,41.957126718,-87.739750311
13691374,JH541812,2024-12-13 19:13:00,STREET,False,False,133,1,3,35,41.844100182,-87.629087729
13687560,JH537120,2024-12-09 21:44:00,STREET,False,False,1711,17,39,12,41.989984552,-87.741096743
13687257,JH536584,2024-12-09 14:40:00,STREET,False,False,2011,20,40,4,41.980078926,-87.69419686
13678198,JH525584,2024-11-30 01:13:00,STREET,True,False,2535,25,36,23,41.903790068,-87.720444688
13677314,JH524657,2024-11-28 23:54:00,STREET,False,False,1724,17,33,16,41.95596519,-87.708077467
13671420,JH517627,2024-11-22 14:00:00,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,False,False,813,8,13,56,41.788987036,-87.74147999
13670090,JH515662,2024-11-21 00:10:00,STREET,True,False,832,8,17,66,41.765784983,-87.683271465
13658404,JH501480,2024-11-09 12:39:00,VEHICLE NON-COMMERCIAL,True,True,113,1,4,32,41.877494476,-87.627663686
13656740,JH499641,2024-11-07 22:30:00,STREET,True,False,331,3,5,42,41.775337541,-87.573217545
13654090,JH496540,2024-11-05 13:35:00,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,False,813,8,13,56,41.788987036,-87.74147999
