community_area,year,homicide_count,homicide_arrests,homicide_domestic,shooting_count,shooting_arrests,shooting_domestic,pop_total,pop_age_0_17,pop_age_18_29,pop_age_30_39,pop_age_40_49,pop_age_50_59,pop_age_60_69,business_license_count,unique_business_types,pct_housing_crowded,pct_below_poverty,pct_unemployed,pct_without_hs_diploma,per_capita_income,hardship_index,homicide_arrest_rate,shooting_arrest_rate,homicides_per_10k,shootings_per_10k
1,2012,6.0,4.0,1.0,165.0,58.0,3.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.6666666666666666,0.3515151515151515,1.1929615269907545,32.80644199224575
1,2013,4.0,1.0,1.0,113.0,36.0,9.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.25,0.3185840707964602,0.7953076846605031,22.46744209165921
1,2014,8.0,1.0,0.0,110.0,32.0,4.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.125,0.2909090909090909,1.5906153693210061,21.870961328163833
1,2015,6.0,3.0,1.0,100.0,22.0,5.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.5,0.22,1.1929615269907545,19.882692116512576
1,2016,5.0,3.0,0.0,117.0,27.0,6.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.6,0.23076923076923078,0.9941346058256288,23.262749776319712
1,2017,4.0,3.0,0.0,122.0,39.0,5.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.75,0.319672131147541,0.7953076846605031,24.25688438214534
1,2018,6.0,2.0,0.0,99.0,35.0,0.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.3333333333333333,0.35353535353535354,1.1929615269907545,19.68386519534745
1,2019,6.0,4.0,1.0,82.0,20.0,4.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.6666666666666666,0.24390243902439024,1.1929615269907545,16.30380753554031
1,2020,6.0,4.0,0.0,129.0,34.0,12.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.6666666666666666,0.26356589147286824,1.1929615269907545,25.64867283030122
1,2021,2.0,2.0,1.0,171.0,39.0,21.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,1.0,0.22807017543859648,0.39765384233025153,33.99940351923651
1,2022,8.0,1.0,0.0,170.0,63.0,13.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,0.0,0.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.125,0.37058823529411766,1.5906153693210061,33.80057659807138
1,2023,7.0,3.0,1.0,139.0,44.0,5.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,113.0,16.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.42857142857142855,0.31654676258992803,1.3917884481558804,27.63694204195248
1,2024,7.0,4.0,0.0,156.0,52.0,9.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,379.0,22.0,7.7,23.6,8.7,18.2,23939.0,39.0,0.5714285714285714,0.3333333333333333,1.3917884481558804,31.01699970175962
1,2025,2.0,2.0,0.0,79.0,32.0,4.0,50295.0,8007.0,11937.0,8965.0,6995.0,6738.0,4360.0,143.0,21.0,7.7,23.6,8.7,18.2,23939.0,39.0,1.0,0.4050632911392405,0.39765384233025153,15.707326772044935
2,2012,6.0,5.0,1.0,61.0,16.0,1.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.8333333333333334,0.26229508196721313,1.2349490583513432,12.555315426571987
2,2013,1.0,1.0,0.0,64.0,19.0,1.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,1.0,0.296875,0.20582484305855717,13.172789955747659
2,2014,3.0,2.0,0.0,78.0,18.0,0.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.6666666666666666,0.23076923076923078,0.6174745291756716,16.05433775856746
2,2015,4.0,4.0,1.0,79.0,18.0,2.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,1.0,0.22784810126582278,0.8232993722342287,16.260162601626018
2,2016,7.0,4.0,0.0,138.0,33.0,3.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5714285714285714,0.2391304347826087,1.4407739014099001,28.403828342080892
2,2017,2.0,1.0,0.0,106.0,31.0,3.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5,0.29245283018867924,0.41164968611711433,21.81743336420706
2,2018,6.0,5.0,2.0,142.0,25.0,5.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.8333333333333334,0.176056338028169,1.2349490583513432,29.227127714315117
2,2019,3.0,1.0,1.0,87.0,25.0,2.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.3333333333333333,0.28735632183908044,0.6174745291756716,17.906761346094473
2,2020,6.0,4.0,0.0,124.0,22.0,5.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.6666666666666666,0.1774193548387097,1.2349490583513432,25.52228053926109
2,2021,2.0,1.0,1.0,98.0,25.0,0.0,48585.0,13057.0,7196.0,6388.0,6782.0,5537.0,5457.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5,0.25510204081632654,0.41164968611711433,20.170834619738603
2,2021,2.0,1.0,1.0,98.0,25.0,0.0,43729.0,11751.0,6546.0,6087.0,5544.0,5914.0,4722.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5,0.25510204081632654,0.45736239109058063,22.410757163438447
2,2022,6.0,3.0,0.0,175.0,25.0,8.0,43729.0,11751.0,6546.0,6087.0,5544.0,5914.0,4722.0,0.0,0.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5,0.14285714285714285,1.372087173271742,40.0192092204258
2,2023,4.0,1.0,1.0,173.0,49.0,16.0,43729.0,11751.0,6546.0,6087.0,5544.0,5914.0,4722.0,258.0,18.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.25,0.2832369942196532,0.9147247821811613,39.56184682933522
2,2024,4.0,2.0,1.0,149.0,31.0,5.0,43729.0,11751.0,6546.0,6087.0,5544.0,5914.0,4722.0,308.0,21.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.5,0.2080536912751678,0.9147247821811613,34.073498136248254
2,2025,1.0,0.0,0.0,81.0,21.0,4.0,43729.0,11751.0,6546.0,6087.0,5544.0,5914.0,4722.0,352.0,20.0,7.799999999999999,17.2,8.8,20.800000000000004,23040.0,46.0,0.0,0.25925925925925924,0.22868119554529032,18.523176839168517
3,2012,5.0,3.0,0.0,91.0,32.0,0.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.6,0.3516483516483517,0.7359868111163448,13.394959962317476
3,2013,1.0,1.0,0.0,81.0,23.0,1.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,1.0,0.2839506172839506,0.14719736222326896,11.922986340084785
3,2014,5.0,0.0,0.0,53.0,16.0,2.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.0,0.3018867924528302,0.7359868111163448,7.801460197833255
3,2015,13.0,6.0,1.0,88.0,19.0,2.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.46153846153846156,0.2159090909090909,1.9135657089024964,12.953367875647668
3,2016,8.0,1.0,0.0,108.0,19.0,1.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.125,0.17592592592592593,1.1775788977861517,15.897315120113047
3,2017,5.0,5.0,1.0,93.0,19.0,5.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,1.0,0.20430107526881722,0.7359868111163448,13.689354686764013
3,2018,2.0,1.0,0.0,65.0,26.0,0.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.5,0.4,0.2943947244465379,9.567828544512482
3,2019,0.0,0.0,0.0,79.0,39.0,2.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.0,0.4936708860759494,0.0,11.628591615638248
3,2020,6.0,3.0,1.0,81.0,30.0,4.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.5,0.37037037037037035,0.8831841733396137,11.922986340084785
3,2021,2.0,1.0,1.0,97.0,34.0,5.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.5,0.35051546391752575,0.2943947244465379,14.27814413565709
3,2022,10.0,5.0,4.0,118.0,38.0,5.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,0.0,0.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.5,0.3220338983050847,1.4719736222326896,17.369288742345738
3,2023,3.0,2.0,0.0,125.0,35.0,11.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,326.0,22.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.6666666666666666,0.28,0.44159208666980687,18.39967027790862
3,2024,2.0,0.0,0.0,136.0,38.0,5.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,358.0,24.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.0,0.27941176470588236,0.2943947244465379,20.018841262364578
3,2025,0.0,0.0,0.0,76.0,33.0,4.0,67936.0,8275.0,14058.0,14701.0,9720.0,9101.0,5610.0,342.0,25.0,3.8,24.0,8.9,11.8,35787.0,20.0,0.0,0.4342105263157895,0.0,11.18699952896844
4,2012,0.0,0.0,0.0,24.0,11.0,2.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.4583333333333333,0.0,2.9989503673714197
4,2013,2.0,2.0,0.0,22.0,4.0,1.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.18181818181818182,0.249912530614285,2.749037836757135
4,2014,0.0,0.0,0.0,21.0,7.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.3333333333333333,0.0,2.6240815714499925
4,2015,1.0,1.0,0.0,37.0,12.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.32432432432432434,0.1249562653071425,4.623381816364272
4,2016,1.0,1.0,0.0,46.0,7.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.15217391304347827,0.1249562653071425,5.747988204128555
4,2017,1.0,0.0,0.0,49.0,14.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.2857142857142857,0.1249562653071425,6.122857000049983
4,2018,2.0,2.0,0.0,29.0,7.0,1.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.2413793103448276,0.249912530614285,3.6237316939071325
4,2019,0.0,0.0,0.0,28.0,7.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.25,0.0,3.49877542859999
4,2020,1.0,1.0,0.0,29.0,6.0,1.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.20689655172413793,0.1249562653071425,3.6237316939071325
4,2021,2.0,1.0,0.0,44.0,7.0,2.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,1.0,1.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.5,0.1590909090909091,0.249912530614285,5.49807567351427
4,2022,1.0,1.0,1.0,59.0,13.0,1.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,0.0,0.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.22033898305084745,0.1249562653071425,7.372419653121408
4,2023,0.0,0.0,0.0,53.0,14.0,3.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,342.0,22.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.2641509433962264,0.0,6.622682061278553
4,2024,0.0,0.0,0.0,41.0,10.0,1.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,265.0,19.0,3.4,10.9,8.2,13.4,37524.0,17.0,0.0,0.24390243902439024,0.0,5.1232068775928425
4,2025,1.0,1.0,1.0,29.0,7.0,0.0,80028.0,15667.0,14404.0,17535.0,11247.0,9346.0,6949.0,195.0,21.0,3.4,10.9,8.2,13.4,37524.0,17.0,1.0,0.2413793103448276,0.1249562653071425,3.6237316939071325
