Column_Name,Data_Type,Non_Null_Count,Null_Count,Null_Percentage,Unique_Values,Sample_Value
community_area,Int64,1091,0,0.0,77,1
year,Int64,1091,0,0.0,14,2012
homicide_count,float64,1091,0,0.0,52,6.0
homicide_arrests,float64,1091,0,0.0,27,4.0
homicide_domestic,float64,1091,0,0.0,8,1.0
shooting_count,float64,1091,0,0.0,451,165.0
shooting_arrests,float64,1091,0,0.0,246,58.0
shooting_domestic,float64,1091,0,0.0,84,3.0
pop_total,float64,1091,0,0.0,59,50295.0
pop_age_0_17,float64,1091,0,0.0,59,8007.0
pop_age_18_29,float64,1091,0,0.0,59,11937.0
pop_age_30_39,float64,1091,0,0.0,59,8965.0
pop_age_40_49,float64,1091,0,0.0,59,6995.0
pop_age_50_59,float64,1091,0,0.0,59,6738.0
pop_age_60_69,float64,1091,0,0.0,59,4360.0
business_license_count,float64,1091,0,0.0,174,0.0
unique_business_types,float64,1091,0,0.0,36,0.0
pct_housing_crowded,float64,1091,0,0.0,60,7.7
pct_below_poverty,float64,1091,0,0.0,69,23.6
pct_unemployed,float64,1091,0,0.0,66,8.7
pct_without_hs_diploma,float64,1091,0,0.0,70,18.2
per_capita_income,float64,1091,0,0.0,77,23939.0
hardship_index,float64,1091,0,0.0,77,39.0
homicide_arrest_rate,float64,1091,0,0.0,130,0.6666666666666666
shooting_arrest_rate,float64,1091,0,0.0,804,0.3515151515151515
homicides_per_10k,float64,1091,0,0.0,438,1.1929615269907545
shootings_per_10k,float64,1091,0,0.0,1000,32.80644199224575
