Community Area,Pct_Housing_Crowded,Pct_Below_Poverty,Pct_Unemployed,Pct_Without_HS_Diploma,Per_Capita_Income,Hardship_Index,Population - Total,Pct_Under_18,Pct_Seniors_65plus,Gender_Ratio_Female_Male,Pct_Black_Non_Latinx,Pct_Latinx,Dependency_Ratio,Pop_Density,Active_Business_Count,Retail_Business_Count,Restaurant_Count,License_Type_Diversity,Business_Per_1000
Albany Park,11.3,19.2,10.0,32.9,21323.0,53.0,,,,,,,,,,,,,
Archer Heights,8.5,14.1,16.5,35.9,16134.0,67.0,,,,,,,,,,,,,
Armour Square,5.7,40.1,16.7,34.5,16148.0,82.0,,,,,,,,,,,,,
Ashburn,4.0,10.4,11.7,17.7,23482.0,37.0,,,,,,,,,,,,,
Auburn Gresham,4.0,27.6,28.3,18.5,15528.0,74.0,,,,,,,,,,,,,
Austin,6.3,28.6,22.6,24.4,15957.0,73.0,,,,,,,,,,,,,
Avalon Park,1.4,17.2,21.1,10.6,24454.0,41.0,,,,,,,,,,,,,
Avondale,6.0,15.3,9.2,24.7,20039.0,42.0,,,,,,,,,,,,,
Belmont Cragin,10.8,18.7,14.6,37.3,15461.0,70.0,,,,,,,,,,,,,
Beverly,0.9,5.1,8.0,3.7,39523.0,12.0,,,,,,,,,,,,,
Bridgeport,4.5,18.9,13.7,22.2,22694.0,43.0,,,,,,,,,,,,,
Brighton Park,14.4,23.6,13.9,45.1,13089.0,84.0,,,,,,,,,,,,,
Burnside,6.8,33.0,18.6,19.3,12515.0,79.0,,,,,,,,,,,,,
CHICAGO,4.7,19.7,12.9,19.5,28202.0,,,,,,,,,,,,,,
Calumet Heights,2.1,11.5,20.0,11.0,28887.0,38.0,,,,,,,,,,,,,
Chatham,3.3000000000000003,27.8,24.0,14.5,18881.0,60.0,,,,,,,,,,,,,
Chicago Lawn,7.599999999999999,27.899999999999995,17.1,31.2,13231.0,80.0,,,,,,,,,,,,,
Clearing,2.7,8.9,9.5,18.8,25113.0,29.0,,,,,,,,,,,,,
Douglas,1.7999999999999998,29.600000000000005,18.2,14.300000000000002,23791.0,47.0,,,,,,,,,,,,,
Dunning,5.2,10.6,10.0,16.2,26282.0,28.0,,,,,,,,,,,,,
East Garfield Park,8.2,42.4,19.6,21.3,12961.0,83.0,,,,,,,,,,,,,
East Side,6.799999999999999,19.2,12.1,31.9,17104.0,64.0,,,,,,,,,,,,,
Edgewater,4.1,18.2,9.2,9.7,33385.0,19.0,,,,,,,,,,,,,
Edison Park,1.1,3.3,6.5,7.4,40959.0,8.0,,,,,,,,,,,,,
Englewood,3.8,46.6,28.0,28.5,11888.0,94.0,,,,,,,,,,,,,
Forest Glen,1.1,7.5,6.8,4.9,44164.0,11.0,,,,,,,,,,,,,
Fuller Park,3.2000000000000006,51.20000000000001,33.9,26.600000000000005,10432.0,97.0,,,,,,,,,,,,,
Gage Park,15.8,23.4,18.2,51.5,12171.0,93.0,,,,,,,,,,,,,
Garfield Ridge,2.6,8.8,11.3,19.3,26353.0,32.0,,,,,,,,,,,,,
Grand Boulevard,3.3,29.300000000000004,24.300000000000004,15.900000000000002,23472.0,57.0,,,,,,,,,,,,,
Greater Grand Crossing,3.6,29.6,23.0,16.5,17285.0,66.0,,,,,,,,,,,,,
Hegewisch,3.3,17.1,9.6,19.2,22677.0,44.0,,,,,,,,,,,,,
Hermosa,6.9,20.5,13.1,41.6,15089.0,71.0,,,,,,,,,,,,,
Humboldt park,14.8,33.9,17.3,35.4,13781.0,85.0,,,,,,,,,,,,,
Hyde Park,1.5,18.4,8.4,4.3,39056.0,14.0,,,,,,,,,,,,,
Irving Park,6.3,13.1,10.0,22.4,27249.0,34.0,,,,,,,,,,,,,
Jefferson Park,2.7,8.6,12.4,13.4,27751.0,25.0,,,,,,,,,,,,,
Kenwood,2.4,21.7,15.7,11.3,35911.0,26.0,,,,,,,,,,,,,
Lake View,1.1,11.4,4.7,2.6,60058.0,5.0,,,,,,,,,,,,,
Lincoln Park,0.8,12.3,5.1,3.6,71551.0,2.0,,,,,,,,,,,,,
Lincoln Square,3.4,10.9,8.2,13.4,37524.0,17.0,,,,,,,,,,,,,
Logan Square,3.2,16.8,8.2,14.8,31908.0,23.0,,,,,,,,,,,,,
Loop,1.5,14.7,5.700000000000001,3.1000000000000005,65526.0,3.0,,,,,,,,,,,,,
Lower West Side,9.6,25.8,15.799999999999999,40.7,16444.0,76.0,,,,,,,,,,,,,
McKinley Park,7.2,18.7,13.4,32.9,16954.0,61.0,,,,,,,,,,,,,
Montclaire,8.1,15.3,13.8,23.5,22014.0,50.0,,,,,,,,,,,,,
Morgan Park,0.8,13.2,15.0,10.8,27149.0,30.0,,,,,,,,,,,,,
Mount Greenwood,1.0,3.4,8.7,4.3,34381.0,16.0,,,,,,,,,,,,,
Near North Side,1.9000000000000001,12.9,7.0,2.5,88669.0,1.0,,,,,,,,,,,,,
Near South Side,1.3000000000000003,13.8,4.9,7.4,59077.0,7.0,,,,,,,,,,,,,
Near West Side,3.8,20.6,10.7,9.6,44689.0,15.0,,,,,,,,,,,,,
New City,11.9,29.0,23.0,41.5,12765.0,91.0,,,,,,,,,,,,,
North Center,0.3,7.5,5.2,4.5,57123.0,6.0,,,,,,,,,,,,,
North Lawndale,7.4,43.1,21.2,27.6,12034.0,87.0,,,,,,,,,,,,,
North Park,3.9,13.2,9.9,14.4,26576.0,33.0,,,,,,,,,,,,,
Norwood Park,2.0,5.4,9.0,11.5,32875.0,21.0,,,,,,,,,,,,,
O'Hare,3.6,15.4,7.099999999999999,10.9,25828.0,24.0,,,,,,,,,,,,,
Oakland,1.3,39.7,28.7,18.4,19252.0,78.0,,,,,,,,,,,,,
